customer_id,name,email,country,created_at
1,Anne Stone,anne.stone@gmail.com,Nigeria,2025-05-29 22:01:50.928538
2,John Nelson,john.nelson@gmail.com,,2023-07-29 06:26:52.153559
3,Nicole Sherman,nicole.sherman@gmail.com,Nigeria,2025-05-01 06:12:56.255498
4,Tonya Mathis,tonya.mathis@gmail.com,Nigeria,2023-11-22 08:44:44.277133
5,David Hunt,david.hunt@gmail.com,Nigeria,2023-09-10 19:03:35.021005
6,Mrs. Heather Chase,mrs..heather.chase@gmail.com,Nigeria,2026-03-10 18:39:53.317681
7,Jeremy Harper,jeremy.harper@gmail.com,Nigeria,2023-06-30 12:45:16.104954
8,Dana Garza,dana.garza@gmail.com,Nigeria,2023-08-25 17:53:55.358057
9,Melanie Mcgee,melanie.mcgee@gmail.com,Nigeria,2023-07-04 14:06:20.909091
10,Reginald James,reginald.james@gmail.com,,2024-01-05 11:19:02.644132
11,Jose Mills,jose.mills@gmail.com,Nigeria,2024-05-03 09:08:49.212768
12,Cheryl Heath,cheryl.heath@gmail.com,Nigeria,2025-06-28 06:01:06.072037
13,Robert Warren,robert.warren@gmail.com,,2025-04-05 13:03:29.236649
14,David Anderson,david.anderson@gmail.com,Nigeria,2026-05-20 21:09:09.604587
15,Francisco Pace,francisco.pace@gmail.com,Nigeria,2023-07-27 17:46:59.715244
16,Eric Clark,eric.clark@gmail.com,Nigeria,2023-11-20 02:51:17.596529
17,Christina Brown,christina.brown@gmail.com,Nigeria,2024-07-01 12:09:06.628846
18,Lauren Boyd,lauren.boyd@gmail.com,Nigeria,2025-01-24 13:13:27.968022
19,Amanda Delgado,amanda.delgado@gmail.com,Nigeria,2025-07-28 08:16:16.567887
20,Penny Gallegos,penny.gallegos@gmail.com,,2025-07-03 03:04:39.092365
21,Jason Hernandez,jason.hernandez@gmail.com,Nigeria,2025-02-25 10:20:26.141429
22,Stephen Allen,stephen.allen@gmail.com,Nigeria,2025-11-06 14:12:09.894925
23,Nathan Moore,nathan.moore@gmail.com,Nigeria,2025-11-17 21:14:38.964295
24,Ashley Huber,ashley.huber@gmail.com,Nigeria,2026-05-02 22:59:00.453987
25,Marc Howard,marc.howard@gmail.com,Nigeria,2023-10-06 21:26:36.432111
26,Mary Bruce,mary.bruce@gmail.com,Nigeria,2026-01-01 22:32:55.130334
27,Marcus Klein,marcus.klein@gmail.com,Nigeria,2025-03-16 07:46:11.868945
28,Adam Carpenter,adam.carpenter@gmail.com,Nigeria,2025-07-05 19:45:11.669243
29,Christine Nash,christine.nash@gmail.com,Nigeria,2024-11-19 19:34:45.922802
30,Edwin Arias,edwin.arias@gmail.com,Nigeria,2024-04-22 17:33:29.783267
31,Kristina May,kristina.may@gmail.com,Nigeria,2026-01-19 10:26:49.981229
32,Sherry Colon,sherry.colon@gmail.com,Nigeria,2025-05-12 18:07:15.568067
33,Tami Burke,tami.burke@gmail.com,Nigeria,2025-05-01 03:22:15.859046
34,Jeremy Davis,jeremy.davis@gmail.com,Nigeria,2025-09-17 05:26:22.629626
35,Stephanie Flores,stephanie.flores@gmail.com,Nigeria,2026-04-13 02:48:59.956866
36,Rhonda Berger,rhonda.berger@gmail.com,Nigeria,2026-05-08 06:58:24.672810
37,Jacob Jackson,jacob.jackson@gmail.com,Nigeria,2025-07-20 07:07:00.239324
38,Joseph Vasquez,joseph.vasquez@gmail.com,Nigeria,2023-08-05 00:25:02.034143
39,George Wells,george.wells@gmail.com,Nigeria,2025-07-28 16:05:42.431115
40,Jesus Frey,jesus.frey@gmail.com,Nigeria,2025-02-08 13:23:23.927452
41,Mr. James Copeland II,mr..james.copeland.ii@gmail.com,Nigeria,2024-07-20 09:53:24.486851
42,Cameron Hunt MD,cameron.hunt.md@gmail.com,Nigeria,2024-12-26 11:58:29.831152
43,Sara Franklin,sara.franklin@gmail.com,Nigeria,2025-01-02 01:39:52.748289
44,Gina Soto,gina.soto@gmail.com,Nigeria,2025-11-02 23:19:14.526603
45,Matthew Sims,matthew.sims@gmail.com,Nigeria,2025-06-22 12:46:50.528224
46,David Hernandez,david.hernandez@gmail.com,Nigeria,2023-12-06 17:48:19.995158
47,Amanda Juarez,amanda.juarez@gmail.com,Nigeria,2025-09-27 23:44:08.564900
48,Maria Weaver,maria.weaver@gmail.com,Nigeria,2025-08-05 01:08:45.336385
